year,city,country,avg_temp,7-Year MA (Riyadh),7-Year Ma (Global)
1843,Riyadh,Saudi Arabia,24.74,,
1844,Riyadh,Saudi Arabia,15.45,,
1845,Riyadh,Saudi Arabia,20.82,,
1846,Riyadh,Saudi Arabia,,,
1847,Riyadh,Saudi Arabia,,,
1848,Riyadh,Saudi Arabia,24.56,,
1849,Riyadh,Saudi Arabia,24.8,22.074,8.038571429
1850,Riyadh,Saudi Arabia,24.34,21.994,8
1851,Riyadh,Saudi Arabia,25.03,23.91,8.075714286
1852,Riyadh,Saudi Arabia,24.85,24.716,8.111428571
1853,Riyadh,Saudi Arabia,24.93,24.75166667,8.038571429
1854,Riyadh,Saudi Arabia,24.72,24.74714286,8.055714286
1855,Riyadh,Saudi Arabia,24.92,24.79857143,8.074285714
1856,Riyadh,Saudi Arabia,24.57,24.76571429,8.077142857
1857,Riyadh,Saudi Arabia,24.26,24.75428571,8.057142857
1858,Riyadh,Saudi Arabia,25.01,24.75142857,8.045714286
1859,Riyadh,Saudi Arabia,24.95,24.76571429,8.067142857
1860,Riyadh,Saudi Arabia,24.94,24.76714286,8.055714286
1861,Riyadh,Saudi Arabia,24.13,24.68285714,8.004285714
1862,Riyadh,Saudi Arabia,23.77,24.51857143,7.925714286
1863,Riyadh,Saudi Arabia,24.28,24.47714286,7.941428571
1864,Riyadh,Saudi Arabia,25.03,24.58714286,7.972857143
1865,Riyadh,Saudi Arabia,25.23,24.61857143,7.984285714
1866,Riyadh,Saudi Arabia,24.92,24.61428571,7.99
1867,Riyadh,Saudi Arabia,25.22,24.65428571,8.058571429
1868,Riyadh,Saudi Arabia,25,24.77857143,8.115714286
1869,Riyadh,Saudi Arabia,25.3,24.99714286,8.24
1870,Riyadh,Saudi Arabia,25.02,25.10285714,8.252857143
1871,Riyadh,Saudi Arabia,24.73,25.06,8.272857143
1872,Riyadh,Saudi Arabia,24.87,25.00857143,8.274285714
1873,Riyadh,Saudi Arabia,25.24,25.05428571,8.282857143
1874,Riyadh,Saudi Arabia,24.98,25.02,8.281428571
1875,Riyadh,Saudi Arabia,24.43,24.93857143,8.225714286
1876,Riyadh,Saudi Arabia,24.89,24.88,8.175714286
1877,Riyadh,Saudi Arabia,25.47,24.94428571,8.224285714
1878,Riyadh,Saudi Arabia,25.51,25.05571429,8.325714286
1879,Riyadh,Saudi Arabia,25.24,25.10857143,8.322857143
1880,Riyadh,Saudi Arabia,24.8,25.04571429,8.29
1881,Riyadh,Saudi Arabia,25.63,25.13857143,8.267142857
1882,Riyadh,Saudi Arabia,24.66,25.17142857,8.305714286
1883,Riyadh,Saudi Arabia,25.19,25.21428571,8.291428571
1884,Riyadh,Saudi Arabia,24.8,25.11857143,8.181428571
1885,Riyadh,Saudi Arabia,24.98,25.04285714,8.051428571
1886,Riyadh,Saudi Arabia,24.98,25.00571429,8.02
1887,Riyadh,Saudi Arabia,24.81,25.00714286,7.99
1888,Riyadh,Saudi Arabia,25.13,24.93571429,7.964285714
1889,Riyadh,Saudi Arabia,25.52,25.05857143,7.991428571
1890,Riyadh,Saudi Arabia,25.07,25.04142857,7.99
1891,Riyadh,Saudi Arabia,25.39,25.12571429,8.025714286
1892,Riyadh,Saudi Arabia,25.22,25.16,8.047142857
1893,Riyadh,Saudi Arabia,25.19,25.19,8.062857143
1894,Riyadh,Saudi Arabia,24.66,25.16857143,8.098571429
1895,Riyadh,Saudi Arabia,24.69,25.10571429,8.107142857
1896,Riyadh,Saudi Arabia,24.88,25.01428571,8.091428571
1897,Riyadh,Saudi Arabia,24.86,24.98428571,8.137142857
1898,Riyadh,Saudi Arabia,24.88,24.91142857,8.16
1899,Riyadh,Saudi Arabia,25.12,24.89714286,8.207142857
1900,Riyadh,Saudi Arabia,25.29,24.91142857,8.27
1901,Riyadh,Saudi Arabia,25.55,25.03857143,8.324285714
1902,Riyadh,Saudi Arabia,25.25,25.11857143,8.345714286
1903,Riyadh,Saudi Arabia,24.64,25.08428571,8.347142857
1904,Riyadh,Saudi Arabia,25.07,25.11428571,8.318571429
1905,Riyadh,Saudi Arabia,24.87,25.11285714,8.325714286
1906,Riyadh,Saudi Arabia,24.85,25.07428571,8.322857143
1907,Riyadh,Saudi Arabia,24.44,24.95285714,8.244285714
1908,Riyadh,Saudi Arabia,24.95,24.86714286,8.194285714
1909,Riyadh,Saudi Arabia,25.57,24.91285714,8.177142857
1910,Riyadh,Saudi Arabia,24.75,24.92857143,8.177142857
1911,Riyadh,Saudi Arabia,24.24,24.81,8.19
1912,Riyadh,Saudi Arabia,24.96,24.82285714,8.181428571
1913,Riyadh,Saudi Arabia,24.63,24.79142857,8.17
1914,Riyadh,Saudi Arabia,24.94,24.86285714,8.261428571
1915,Riyadh,Saudi Arabia,25.38,24.92428571,8.318571429
1916,Riyadh,Saudi Arabia,24.85,24.82142857,8.325714286
1917,Riyadh,Saudi Arabia,25.03,24.86142857,8.297142857
1918,Riyadh,Saudi Arabia,24.66,24.92142857,8.29
1919,Riyadh,Saudi Arabia,25.39,24.98285714,8.32
1920,Riyadh,Saudi Arabia,24.94,25.02714286,8.328571429
1921,Riyadh,Saudi Arabia,24.84,25.01285714,8.325714286
1922,Riyadh,Saudi Arabia,25.35,25.00857143,8.3
1923,Riyadh,Saudi Arabia,25.1,25.04428571,8.327142857
1924,Riyadh,Saudi Arabia,25.69,25.13857143,8.397142857
1925,Riyadh,Saudi Arabia,25,25.18714286,8.454285714
1926,Riyadh,Saudi Arabia,25.19,25.15857143,8.504285714
1927,Riyadh,Saudi Arabia,25.29,25.20857143,8.527142857
1928,Riyadh,Saudi Arabia,25.39,25.28714286,8.535714286
